frame_idx,time_s,x,y
199,6.625729,280.37,1061.80
200,6.659024,280.48,1055.51
201,6.692319,279.99,1050.49
202,6.725614,279.83,1042.40
203,6.758909,280.26,1034.99
204,6.792205,280.12,1026.68
205,6.825500,280.19,1018.02
206,6.858795,280.53,1008.78
207,6.892090,280.49,998.54
208,6.925385,281.09,987.71
209,6.958680,282.86,975.40
210,6.991975,283.43,963.13
211,7.025270,284.45,949.93
212,7.058566,286.36,934.50
213,7.091861,287.56,920.55
214,7.125156,289.36,905.09
215,7.158451,291.56,889.67
216,7.191746,292.17,875.17
217,7.225041,294.87,860.97
218,7.258336,296.14,845.55
219,7.291631,298.84,833.33
220,7.324927,299.92,823.95
221,7.358222,301.73,814.15
222,7.391517,303.69,806.88
223,7.424812,305.60,800.53
224,7.458107,307.26,796.71
225,7.491402,308.46,794.46
226,7.524697,308.89,793.64
227,7.557992,308.97,793.35
228,7.591287,309.10,793.33
229,7.624583,309.57,793.34
230,7.657878,310.11,793.04
231,7.691173,310.41,792.68
232,7.724468,310.62,792.66
233,7.757763,311.68,792.65
234,7.791058,312.39,793.40
235,7.824353,313.09,794.25
236,7.857648,313.41,795.29
237,7.890944,313.71,796.39
238,7.924239,314.48,797.29
239,7.957534,315.11,798.03
240,7.990829,315.90,798.37
241,8.024124,316.66,798.43
242,8.057419,317.29,798.35
243,8.090714,317.79,798.63
244,8.124009,318.06,798.85
245,8.157305,318.08,799.24
246,8.190600,318.59,799.69
247,8.223895,318.60,800.39
248,8.257190,318.59,800.88
249,8.290485,318.59,801.38
250,8.323780,318.59,801.94
251,8.357075,318.62,802.61
252,8.390370,318.43,803.36
253,8.423665,318.46,804.34
254,8.456961,318.34,805.64
255,8.490256,318.38,807.61
256,8.523551,318.55,810.22
257,8.556846,321.10,814.29
258,8.590141,321.00,818.60
259,8.623436,318.28,823.48
260,8.656731,318.54,829.69
261,8.690026,317.98,837.31
262,8.723322,318.30,844.79
263,8.756617,318.33,853.62
264,8.789912,317.27,863.05
265,8.823207,317.85,871.05
266,8.856502,315.73,882.57
267,8.889797,315.50,892.73
268,8.923092,314.64,904.40
269,8.956387,312.75,916.48
270,8.989683,311.89,928.35
271,9.022978,309.70,939.88
272,9.056273,308.83,951.24
273,9.089568,308.13,963.23
274,9.122863,307.85,973.88
275,9.156158,306.40,986.30
276,9.189453,305.42,997.86
277,9.222748,302.94,1009.89
278,9.256044,303.10,1019.30
279,9.289339,302.50,1030.44
280,9.322634,301.92,1042.75
281,9.355929,301.11,1053.83
282,9.389224,300.71,1063.95
283,9.422519,301.57,1072.45
284,9.455814,302.45,1078.51
285,9.489109,302.96,1086.65
286,9.522404,302.20,1085.14
287,9.555700,302.22,1082.86
288,9.588995,302.17,1083.84
289,9.622290,301.78,1086.58
290,9.655585,301.42,1086.38
291,9.688880,300.86,1086.26
292,9.722175,299.84,1087.00
293,9.755470,298.78,1086.90
294,9.788765,297.19,1087.49
295,9.822061,295.70,1088.45
296,9.855356,294.23,1088.75
297,9.888651,292.82,1089.15
298,9.921946,291.41,1089.06
299,9.955241,290.11,1088.59
300,9.988536,288.96,1088.26
301,10.021831,288.06,1087.83
302,10.055126,287.31,1087.69
303,10.088422,286.65,1087.62
304,10.121717,286.06,1087.50
305,10.155012,285.66,1087.58
306,10.188307,285.46,1087.50
307,10.221602,285.31,1087.68
308,10.254897,285.43,1087.64
309,10.288192,285.64,1087.65
310,10.321487,285.97,1087.61
311,10.354782,286.42,1087.69
312,10.388078,286.79,1087.71
313,10.421373,287.21,1087.73
314,10.454668,287.93,1087.53
315,10.487963,288.54,1087.59
316,10.521258,289.25,1087.73
317,10.554553,291.56,1084.17
318,10.587848,290.49,1088.06
319,10.621143,292.78,1084.51
320,10.654439,293.21,1084.44
321,10.687734,293.84,1083.94
322,10.721029,292.56,1087.45
323,10.754324,293.18,1086.54
324,10.787619,293.17,1086.59
325,10.820914,293.21,1086.51
326,10.854209,292.98,1086.52
327,10.887504,292.63,1087.12
328,10.920800,292.20,1087.10
329,10.954095,291.67,1087.39
330,10.987390,290.93,1087.44
331,11.020685,290.52,1087.60
332,11.053980,290.09,1087.32
333,11.087275,289.70,1087.52
334,11.120570,289.35,1087.35
335,11.153865,288.86,1087.17
336,11.187160,288.58,1087.37
337,11.220456,288.32,1087.30
338,11.253751,288.17,1087.65
339,11.287046,288.04,1088.11
340,11.320341,287.89,1087.87
341,11.353636,287.77,1087.75
342,11.386931,287.82,1087.85
343,11.420226,287.88,1087.97
344,11.453521,287.93,1087.92
345,11.486817,288.09,1087.92
346,11.520112,288.31,1088.07
347,11.553407,288.43,1087.96
348,11.586702,288.57,1088.10
349,11.619997,288.76,1088.21
350,11.653292,288.95,1088.49
351,11.686587,289.15,1088.66
352,11.719882,289.30,1088.67
353,11.753178,289.41,1088.81
354,11.786473,289.44,1088.90
355,11.819768,289.62,1089.11
356,11.853063,289.68,1089.29
357,11.886358,289.69,1089.34
358,11.919653,289.63,1089.56
359,11.952948,289.52,1089.49
360,11.986243,289.50,1089.61
361,12.019539,289.39,1089.74
362,12.052834,289.24,1089.63
363,12.086129,289.02,1089.54
364,12.119424,288.78,1089.57
365,12.152719,288.58,1089.53
366,12.186014,288.38,1089.45
367,12.219309,288.18,1089.46
368,12.252604,288.00,1089.22
369,12.285899,287.85,1089.06
370,12.319195,287.72,1088.80
371,12.352490,287.63,1088.58
372,12.385785,287.62,1087.99
373,12.419080,287.60,1087.36
374,12.452375,287.50,1085.78
375,12.485670,287.27,1084.14
376,12.518965,287.02,1081.91
377,12.552260,287.15,1078.18
378,12.585556,286.25,1075.85
379,12.618851,285.14,1074.01
380,12.652146,284.67,1070.49
381,12.685441,285.26,1063.84
382,12.718736,285.00,1058.29
383,12.752031,285.02,1052.62
384,12.785326,285.32,1043.77
385,12.818621,286.37,1033.86
386,12.851917,287.00,1024.70
